terminology,readcode,readterm
read2,229..00,O/E - height
read2,229Z.00,O/E - height NOS
read2,2293.00,O/E -height within 10% average
ctv3,229..,O/E - height
ctv3,229Z.,O/E - height NOS
ctv3,2293.,O/E -height within 10% average
